candidate_TF,neighbor_rank,neighbor_TF_in_perturbseq_rest,distance,similarity_approx
HBP1,10,ZNF619,0.5287845622130757,0.4712154377869243
HES6,1,AHDC1,0.2950233351533533,0.7049766648466467
HES6,2,ZNF345,0.3525244141671704,0.6474755858328296
HES6,3,ZFP14,0.3785307213556086,0.6214692786443914
HES6,4,ZNF619,0.38439081772295325,0.6156091822770468
HES6,5,ZNF682,0.39855644033913973,0.6014435596608603
HES6,6,ZNF586,0.3996054628082719,0.6003945371917281
HES6,7,VEZF1,0.4043461380392088,0.5956538619607912
HES6,8,ZBTB5,0.4064463324064935,0.5935536675935065
HES6,9,RFX7,0.40823314928145904,0.591766850718541
HES6,10,ZNF718,0.43771850634309195,0.562281493656908
HIC1,1,ZNF394,0.12371835882789872,0.8762816411721013
HIC1,2,REPIN1,0.17238990950855848,0.8276100904914415
HIC1,3,NFAT5,0.20353649697301124,0.7964635030269888
HIC1,4,ZNF18,0.21164514305269955,0.7883548569473005
HIC1,5,ZNF221,0.22462652552839069,0.7753734744716093
HIC1,6,ZNF512B,0.22564945458590102,0.774350545414099
HIC1,7,ZNF549,0.22647778217773884,0.7735222178222612
HIC1,8,TOPORS,0.23627796786416178,0.7637220321358382
HIC1,9,TCFL5,0.23856987709425448,0.7614301229057455
HIC1,10,ZNF646,0.23946323068256992,0.7605367693174301
HIF1A,1,ZNF644,0.4438306532900208,0.5561693467099792
HIF1A,2,KLF11,0.4559860332570681,0.5440139667429319
